country_code,country_name,year,indicator_code,indicator_name,value
KEN,Kenya,2022,NY.GDP.MKTP.CD,GDP,114448978152.637
KEN,Kenya,2021,NY.GDP.MKTP.CD,GDP,109703658904.994
KEN,Kenya,2020,NY.GDP.MKTP.CD,GDP,100657505750.545
KEN,Kenya,2019,NY.GDP.MKTP.CD,GDP,100378436207.371
KEN,Kenya,2018,NY.GDP.MKTP.CD,GDP,92202979985.2863
KEN,Kenya,2017,NY.GDP.MKTP.CD,GDP,82036510877.2599
KEN,Kenya,2016,NY.GDP.MKTP.CD,GDP,74815144163.8931
KEN,Kenya,2015,NY.GDP.MKTP.CD,GDP,70120446896.8359
KEN,Kenya,2014,NY.GDP.MKTP.CD,GDP,68285796514.2896
KEN,Kenya,2013,NY.GDP.MKTP.CD,GDP,61671440407.8387
KEN,Kenya,2012,NY.GDP.MKTP.CD,GDP,56396704671.5777
KEN,Kenya,2011,NY.GDP.MKTP.CD,GDP,46869473150.61
KEN,Kenya,2010,NY.GDP.MKTP.CD,GDP,45405615063.7551
KEN,Kenya,2009,NY.GDP.MKTP.CD,GDP,42347217912.9176
KEN,Kenya,2008,NY.GDP.MKTP.CD,GDP,35895153327.8497
KEN,Kenya,2007,NY.GDP.MKTP.CD,GDP,31958195182.2406
KEN,Kenya,2006,NY.GDP.MKTP.CD,GDP,25825512284.2891
KEN,Kenya,2005,NY.GDP.MKTP.CD,GDP,18737895512.7378
KEN,Kenya,2004,NY.GDP.MKTP.CD,GDP,16095337093.8366
KEN,Kenya,2003,NY.GDP.MKTP.CD,GDP,14904517649.8476
KEN,Kenya,2002,NY.GDP.MKTP.CD,GDP,13147736898.5176
KEN,Kenya,2001,NY.GDP.MKTP.CD,GDP,12986007425.8781
KEN,Kenya,2000,NY.GDP.MKTP.CD,GDP,12705350097.8044
KEN,Kenya,2022,SP.POP.TOTL,Population,54252461.0
KEN,Kenya,2021,SP.POP.TOTL,Population,53219166.0
KEN,Kenya,2020,SP.POP.TOTL,Population,52217334.0
KEN,Kenya,2019,SP.POP.TOTL,Population,51202827.0
KEN,Kenya,2018,SP.POP.TOTL,Population,50207107.0
KEN,Kenya,2017,SP.POP.TOTL,Population,49197766.0
KEN,Kenya,2016,SP.POP.TOTL,Population,48139687.0
KEN,Kenya,2015,SP.POP.TOTL,Population,47088526.0
